Using device: cpu
Starting training...

Episode 209	Average Score (100): -76.89	Epsilon: 0.53
Episode 210	Average Score (100): -76.28	Epsilon: 0.53
Episode 211	Average Score (100): -75.03	Epsilon: 0.53
Episode 212	Average Score (100): -72.30	Epsilon: 0.53
Episode 213	Average Score (100): -72.36	Epsilon: 0.53
Episode 214	Average Score (100): -72.60	Epsilon: 0.53
Episode 215	Average Score (100): -71.91	Epsilon: 0.52
Episode 216	Average Score (100): -70.55	Epsilon: 0.52
Episode 217	Average Score (100): -68.92	Epsilon: 0.52
Episode 218	Average Score (100): -68.88	Epsilon: 0.52
Episode 219	Average Score (100): -68.54	Epsilon: 0.52
Episode 220	Average Score (100): -68.42	Epsilon: 0.52
Episode 221	Average Score (100): -67.96	Epsilon: 0.51
Episode 222	Average Score (100): -68.01	Epsilon: 0.51
Episode 223	Average Score (100): -66.96	Epsilon: 0.51
Episode 224	Average Score (100): -66.63	Epsilon: 0.51
Episode 225	Average Score (100): -66.50	Epsilon: 0.51
Episode 226	Average Score (100): -66.14	Epsilon: 0.51
Episode 227	Average Score (100): -65.62	Epsilon: 0.51
Episode 228	Average Score (100): -64.59	Epsilon: 0.50
Episode 229	Average Score (100): -63.74	Epsilon: 0.50
Episode 230	Average Score (100): -62.86	Epsilon: 0.50
Episode 231	Average Score (100): -62.72	Epsilon: 0.50
Episode 232	Average Score (100): -62.24	Epsilon: 0.50
Episode 233	Average Score (100): -61.21	Epsilon: 0.50
Episode 234	Average Score (100): -59.99	Epsilon: 0.50
Episode 235	Average Score (100): -60.17	Epsilon: 0.49
Episode 236	Average Score (100): -59.40	Epsilon: 0.49
Episode 237	Average Score (100): -58.98	Epsilon: 0.49
Episode 238	Average Score (100): -57.64	Epsilon: 0.49
Episode 239	Average Score (100): -57.66	Epsilon: 0.49
Episode 240	Average Score (100): -57.09	Epsilon: 0.49
Episode 241	Average Score (100): -56.82	Epsilon: 0.48
Episode 242	Average Score (100): -55.97	Epsilon: 0.48
Episode 243	Average Score (100): -55.34	Epsilon: 0.48
Episode 244	Average Score (100): -54.57	Epsilon: 0.48
Episode 245	Average Score (100): -54.91	Epsilon: 0.48
Episode 246	Average Score (100): -54.44	Epsilon: 0.48
Episode 247	Average Score (100): -53.90	Epsilon: 0.48
Episode 248	Average Score (100): -53.67	Epsilon: 0.47
Episode 249	Average Score (100): -53.51	Epsilon: 0.47
Episode 250	Average Score (100): -54.27	Epsilon: 0.47
Episode 251	Average Score (100): -53.78	Epsilon: 0.47
Episode 252	Average Score (100): -53.78	Epsilon: 0.47
Episode 253	Average Score (100): -50.58	Epsilon: 0.47
Episode 254	Average Score (100): -51.08	Epsilon: 0.47
Episode 255	Average Score (100): -51.09	Epsilon: 0.46
Episode 256	Average Score (100): -50.75	Epsilon: 0.46
Episode 257	Average Score (100): -49.87	Epsilon: 0.46
Episode 258	Average Score (100): -49.94	Epsilon: 0.46
Episode 259	Average Score (100): -49.62	Epsilon: 0.46
Episode 260	Average Score (100): -48.85	Epsilon: 0.46
Episode 261	Average Score (100): -50.28	Epsilon: 0.46
Episode 262	Average Score (100): -50.86	Epsilon: 0.46
Episode 263	Average Score (100): -50.85	Epsilon: 0.45
Episode 264	Average Score (100): -51.22	Epsilon: 0.45
Episode 265	Average Score (100): -52.25	Epsilon: 0.45
Episode 266	Average Score (100): -53.52	Epsilon: 0.45
Episode 267	Average Score (100): -52.08	Epsilon: 0.45
Episode 268	Average Score (100): -52.41	Epsilon: 0.45
Episode 269	Average Score (100): -51.49	Epsilon: 0.45
Episode 270	Average Score (100): -51.05	Epsilon: 0.44
Episode 271	Average Score (100): -50.31	Epsilon: 0.44
Episode 272	Average Score (100): -50.76	Epsilon: 0.44
Episode 273	Average Score (100): -50.46	Epsilon: 0.44
