Используем устройство: cpu
Начинаем обучение... (Это может занять 10-20 минут)

Эпизод 313	Средний счет (100): -25.88	Epsilon: 0.39
Эпизод 314	Средний счет (100): -26.23	Epsilon: 0.39
Эпизод 315	Средний счет (100): -25.64	Epsilon: 0.39
Эпизод 316	Средний счет (100): -24.10	Epsilon: 0.39
Эпизод 317	Средний счет (100): -25.16	Epsilon: 0.39
Эпизод 318	Средний счет (100): -26.29	Epsilon: 0.38
Эпизод 319	Средний счет (100): -26.52	Epsilon: 0.38
Эпизод 320	Средний счет (100): -26.49	Epsilon: 0.38
Эпизод 321	Средний счет (100): -27.12	Epsilon: 0.38
Эпизод 322	Средний счет (100): -24.92	Epsilon: 0.38
Эпизод 323	Средний счет (100): -24.56	Epsilon: 0.38
Эпизод 324	Средний счет (100): -23.26	Epsilon: 0.38
Эпизод 325	Средний счет (100): -21.57	Epsilon: 0.38
Эпизод 326	Средний счет (100): -19.85	Epsilon: 0.38
Эпизод 327	Средний счет (100): -19.82	Epsilon: 0.37
Эпизод 328	Средний счет (100): -16.37	Epsilon: 0.37
Эпизод 329	Средний счет (100): -16.01	Epsilon: 0.37
Эпизод 330	Средний счет (100): -15.18	Epsilon: 0.37
Эпизод 331	Средний счет (100): -14.46	Epsilon: 0.37
Эпизод 332	Средний счет (100): -13.18	Epsilon: 0.37
Эпизод 333	Средний счет (100): -13.21	Epsilon: 0.37
Эпизод 334	Средний счет (100): -13.18	Epsilon: 0.37
Эпизод 335	Средний счет (100): -13.01	Epsilon: 0.37
Эпизод 336	Средний счет (100): -14.16	Epsilon: 0.36
Эпизод 337	Средний счет (100): -14.34	Epsilon: 0.36
Эпизод 338	Средний счет (100): -14.99	Epsilon: 0.36
Эпизод 339	Средний счет (100): -15.70	Epsilon: 0.36
Эпизод 340	Средний счет (100): -14.16	Epsilon: 0.36
Эпизод 341	Средний счет (100): -15.81	Epsilon: 0.36
Эпизод 342	Средний счет (100): -16.75	Epsilon: 0.36
Эпизод 343	Средний счет (100): -15.87	Epsilon: 0.36
Эпизод 344	Средний счет (100): -16.78	Epsilon: 0.36
Эпизод 345	Средний счет (100): -15.55	Epsilon: 0.35
Эпизод 346	Средний счет (100): -15.46	Epsilon: 0.35
Эпизод 347	Средний счет (100): -15.28	Epsilon: 0.35
Эпизод 348	Средний счет (100): -15.17	Epsilon: 0.35
Эпизод 349	Средний счет (100): -15.67	Epsilon: 0.35
Эпизод 350	Средний счет (100): -15.96	Epsilon: 0.35
Эпизод 351	Средний счет (100): -16.75	Epsilon: 0.35
Эпизод 352	Средний счет (100): -17.16	Epsilon: 0.35
Эпизод 353	Средний счет (100): -17.52	Epsilon: 0.35
Эпизод 354	Средний счет (100): -16.31	Epsilon: 0.35
Эпизод 355	Средний счет (100): -15.06	Epsilon: 0.34
Эпизод 356	Средний счет (100): -14.22	Epsilon: 0.34
Эпизод 357	Средний счет (100): -13.28	Epsilon: 0.34
Эпизод 358	Средний счет (100): -10.98	Epsilon: 0.34
Эпизод 359	Средний счет (100): -9.20	Epsilon: 0.34
Эпизод 360	Средний счет (100): -10.08	Epsilon: 0.34
Эпизод 361	Средний счет (100): -7.52	Epsilon: 0.34
Эпизод 362	Средний счет (100): -6.44	Epsilon: 0.34
